variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.001,2906.67,4920.526,58.619,58.983,20.964,21.162
w1[167],1.005,1480.344,3586.06,0.509,0.516,0.12,0.118
w1[44],1.005,919.412,1726.081,0.439,0.449,0.14,0.139
w1[170],1.005,1303.197,2756.323,0.536,0.546,0.12,0.12
w1[157],1.005,1454.936,3374.597,0.406,0.413,0.133,0.132
w1[154],1.005,1447.551,2766.289,0.374,0.378,0.135,0.138
w2[117],1.005,1345.901,2693.119,0.262,0.264,0.12,0.122
w2[10],1.004,1167.33,2828.143,0.264,0.267,0.125,0.126
w2[105],1.004,1232.152,2830.237,0.386,0.39,0.099,0.1
w2[93],1.004,1247.874,2866.128,0.25,0.25,0.114,0.116
w2[28],1.003,1052.576,2048.896,0.424,0.43,0.111,0.11
p[8],1.004,1866.53,3520.741,-0.39,-0.406,0.217,0.22
p[264],1.003,2894.03,4114.395,-0.163,-0.158,0.243,0.249
p[32],1.003,2299.892,3726.943,-0.3,-0.313,0.216,0.221
p[75],1.003,1144.7,2987.192,0.922,0.939,0.064,0.051
p[59],1.003,2518.853,4478.901,-0.069,-0.075,0.221,0.227
