variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.08,25.627,416.578,515.345,514.921,56.614,57.878
w1[134],1.165,9.22,8.726,-0.788,-1.0,0.53,0.0
w1[166],1.093,24.735,23.413,-0.805,-1.0,0.555,0.0
w1[143],1.074,31.206,23.832,-0.291,-0.976,0.838,0.035
w1[77],1.073,36.844,16.382,-0.026,0.087,0.879,1.353
w1[169],1.066,30.324,35.485,-0.697,-1.0,0.655,0.0
w2[19],1.054,55.781,44.908,-0.704,-1.0,0.623,0.0
w2[20],1.051,56.022,44.647,0.224,0.611,0.822,0.577
w2[52],1.051,39.45,51.386,-0.759,-1.0,0.567,0.0
w2[85],1.042,53.537,65.510,-0.756,-1.0,0.559,0.0
w2[17],1.04,88.638,  NA,0.601,0.955,0.633,0.067
p[632],2.225,2.561,  NA,0.536,0.965,0.492,0.052
p[724],1.772,2.976,  NA,0.564,0.952,0.477,0.071
p[597],1.445,4.014,  NA,0.388,0.163,0.456,0.322
p[692],1.347,4.967,  NA,0.554,0.636,0.451,0.539
p[761],1.291,5.288,  NA,0.526,0.512,0.456,0.723
phi[1336],1.025,261.846,588.603,-1.284,-1.282,0.098,0.097
phi[14],1.024,264.376,865.979,-0.723,-0.724,0.098,0.098
phi[1402],1.022,302.375,686.993,-1.071,-1.072,0.101,0.101
phi[704],1.022,328.62,730.547,0.28,0.278,0.101,0.101
phi[218],1.021,347.633,825.472,-0.786,-0.788,0.1,0.103
