zone,category,name,year,month,month_end,start_day,end_day
0,5,IAN 2022,2022,9,10,22,1
0,5,DORIAN 2019,2019,8,9,24,9
0,5,MICHAEL 2018,2018,10,10,6,15
0,5,IRMA 2017,2017,8,9,30,13
0,5,RITA 2005,2005,9,9,18,26
0,5,KATRINA 2005,2005,8,8,23,31
0,5,IVAN 2004,2004,9,9,2,24
0,5,ANDREW 1992,1992,8,8,16,28
0,5,ALLEN 1980,1980,7,8,31,11
0,5,CAMILLE 1969,1969,8,8,14,22
0,5,UNNAMED 1944,1944,9,9,9,16
0,4,IDALIA 2023,2023,8,9,26,8
0,4,MATTHEW 2016,2016,9,10,28,10
0,4,JOAQUIN 2015,2015,9,10,26,15
0,4,EARL 2010,2010,8,9,24,6
0,4,IKE 2008,2008,9,9,1,15
0,4,GUSTAV 2008,2008,8,9,25,5
0,4,DENNIS 2005,2005,7,7,4,18
0,4,FRANCES 2004,2004,8,9,25,10
0,4,CHARLEY 2004,2004,8,8,9,15
0,4,MICHELLE 2001,2001,10,11,29,6
0,4,FLOYD 1999,1999,9,9,7,19
0,4,OPAL 1995,1995,9,10,27,6
0,4,HUGO 1989,1989,9,9,10,25
0,4,FREDERIC 1979,1979,8,9,29,15
0,4,DONNA 1960,1960,8,9,29,14
0,4,GRACIE 1959,1959,9,10,20,2
0,4,HELENE 1958,1958,9,10,21,4
0,4,DAISY 1958,1958,8,8,23,31
0,4,IONE 1955,1955,9,9,10,27
0,4,HAZEL 1954,1954,10,10,5,18
0,4,FOX 1952,1952,10,10,20,28
0,4,KING 1950,1950,10,10,13,20
0,4,UNNAMED 1949,1949,8,9,23,1
0,4,UNNAMED 1948,1948,9,9,18,26
0,4,UNNAMED 1947,1947,9,9,4,21
0,4,UNNAMED 1945,1945,9,9,12,20
0,4,UNNAMED 1944,1944,10,10,12,24
0,3,IRENE 2011,2011,8,8,21,30
0,3,WILMA 2005,2005,10,10,15,26
0,3,JEANNE 2004,2004,9,9,13,29
0,3,LILI 2002,2002,9,10,21,4
0,3,ISIDORE 2002,2002,9,9,14,27
0,3,BONNIE 1998,1998,8,8,19,31
0,3,FRAN 1996,1996,8,9,23,10
0,3,KATE 1985,1985,11,11,15,23
0,3,ELENA 1985,1985,8,9,28,4
0,3,BELLE 1976,1976,8,8,6,10
0,3,ELOISE 1975,1975,9,9,13,24
0,3,INEZ 1966,1966,9,10,21,11
0,3,ALMA 1966,1966,6,6,5,14
0,3,BETSY 1965,1965,8,9,27,13
0,3,ISBELL 1964,1964,10,10,9,16
0,3,BETSY 1956,1956,8,8,9,21
0,3,CONNIE 1955,1955,8,8,3,15
0,3,EDNA 1954,1954,9,9,5,14
0,3,FLORENCE 1953,1953,9,9,23,27
0,3,EASY 1950,1950,9,9,1,9
