variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.001,2344.75,4342.206,441.335,441.274,33.306,33.395
w1[196],1.005,14482.383,4779.26,0.248,0.269,0.349,0.374
w1[179],1.003,13996.217,4607.215,0.131,0.151,0.383,0.416
w1[67],1.003,14295.948,4528.746,0.072,0.083,0.408,0.463
w1[273],1.003,13047.904,5376.41,0.013,0.021,0.417,0.49
w1[454],1.002,13974.093,5090.843,0.18,0.199,0.366,0.393
w2[119],1.003,13731.217,4802.239,0.125,0.143,0.39,0.434
w2[107],1.003,12226.554,5627.96,0.438,0.469,0.274,0.297
w2[341],1.002,12731.441,4774.604,0.366,0.385,0.292,0.327
w2[165],1.002,15233.84,5504.943,0.073,0.094,0.414,0.476
w2[504],1.002,12118.022,4617.896,0.133,0.126,0.328,0.329
p[631],1.006,9331.075,2889.805,0.06,0.034,0.167,0.125
p[611],1.005,12188.221,4013.046,-0.024,-0.021,0.337,0.327
p[736],1.004,9969.216,3662.783,-0.075,-0.051,0.25,0.217
p[292],1.003,12693.026,4632.92,0.65,0.69,0.199,0.181
p[638],1.003,12671.139,4575.177,-0.117,-0.099,0.288,0.272
