variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.004,657.292,889.552,455.128,456.981,45.889,47.694
w1[174],1.01,2159.48,1176.8,0.057,0.084,0.555,0.677
w1[143],1.009,1595.927,1011.834,0.313,0.391,0.491,0.537
w1[419],1.008,2049.37,869.621,0.213,0.265,0.523,0.597
w1[106],1.008,2082.887,1330.195,-0.048,-0.071,0.56,0.705
w1[29],1.008,1707.399,988.303,0.416,0.48,0.417,0.455
w2[249],1.009,2019.569,1066.356,0.444,0.564,0.456,0.437
w2[197],1.009,2184.071,1154.562,0.506,0.634,0.429,0.376
w2[500],1.008,2031.011,1179.147,0.099,0.148,0.555,0.679
w2[180],1.008,2409.419,808.968,0.415,0.518,0.457,0.47
w2[92],1.008,2217.369,1356.847,0.12,0.166,0.559,0.686
p[598],1.01,1451.342,718.959,0.044,0.021,0.202,0.157
p[208],1.01,2083.316,1076.558,0.37,0.504,0.507,0.49
p[699],1.01,1179.353,675.897,0.057,0.035,0.095,0.062
p[730],1.01,1075.25,562.996,0.089,0.051,0.162,0.114
p[833],1.01,2231.512,1315.135,-0.134,-0.121,0.427,0.433
phi[1285],1.01,2072.869,1304.092,-1.126,-1.127,0.097,0.094
phi[1627],1.01,2086.164,1085.281,-0.954,-0.951,0.103,0.1
phi[507],1.01,2066.37,1304.903,-0.763,-0.761,0.101,0.101
phi[547],1.01,1683.562,1171.157,2.54,2.541,0.097,0.094
phi[1118],1.009,2050.155,1357.265,-0.396,-0.399,0.097,0.098
