variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.001,666.266,773.798,-65.576,-64.81,31.047,31.353
w1[92],1.009,2987.628,1188.93,0.472,0.551,0.392,0.408
w1[102],1.008,2148.24,650.834,0.256,0.299,0.471,0.536
w1[215],1.008,3906.477,1435.901,-0.009,-0.015,0.554,0.693
w1[88],1.007,3719.453,1319.328,0.418,0.499,0.436,0.479
w1[142],1.006,3820.402,1294.653,0.1,0.147,0.563,0.702
w2[120],1.007,1627.531,1096.726,0.285,0.239,0.335,0.345
w2[226],1.007,2708.113,1286.021,0.061,0.065,0.455,0.453
w2[60],1.006,3497.827,1389.978,0.142,0.206,0.546,0.653
w2[213],1.006,2569.323,1048.563,-0.088,-0.092,0.445,0.452
w2[162],1.006,3349.174,1199.269,0.099,0.093,0.476,0.533
p[309],1.01,1823.505,681.391,0.1,0.058,0.244,0.178
p[170],1.009,3622.212,1258.807,0.74,0.817,0.255,0.185
p[296],1.007,1307.057,656.907,0.147,0.086,0.246,0.171
p[326],1.007,2592.491,852.922,0.125,0.087,0.308,0.269
p[328],1.007,3322.776,1119.599,0.096,0.109,0.49,0.551
phi[103],1.01,3384.425,1157.73,0.136,0.134,0.104,0.099
phi[695],1.01,2643.859,1295.955,-1.095,-1.096,0.098,0.098
phi[97],1.009,3462.05,1318.675,-0.03,-0.029,0.098,0.098
phi[287],1.009,3500.493,1509.367,-0.628,-0.628,0.099,0.095
phi[531],1.009,3774.491,1068.017,0.574,0.574,0.1,0.102
