variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.0,2565.974,4358.596,77.924,78.333,21.285,21.151
w1[90],1.001,8179.406,7341.213,0.467,0.479,0.143,0.141
w1[146],1.001,9032.857,6759.468,0.238,0.243,0.176,0.181
w1[175],1.001,8894.236,7453.563,0.739,0.755,0.103,0.096
w1[22],1.001,7302.178,7207.707,0.564,0.583,0.151,0.146
w1[74],1.001,7996.13,7235.013,0.543,0.56,0.151,0.149
w2[139],1.002,8141.193,6846.872,0.665,0.674,0.099,0.095
w2[155],1.002,8823.898,7311.142,0.657,0.668,0.102,0.1
w2[167],1.001,8222.291,7336.101,0.612,0.624,0.113,0.111
w2[128],1.001,8933.476,7060.873,0.56,0.57,0.122,0.12
w2[65],1.001,7851.132,7009.751,0.433,0.445,0.155,0.157
p[260],1.002,9196.412,5980.96,0.016,0.013,0.15,0.119
p[34],1.002,8402.659,7387.24,-0.075,-0.08,0.212,0.217
p[365],1.001,4028.832,3299.901,-0.175,-0.108,0.215,0.153
p[352],1.001,8090.046,4961.692,0.015,0.008,0.082,0.063
p[364],1.001,7966.637,4536.661,-0.07,-0.041,0.147,0.106
